video_id,frame_number,child_id,kchi_present,age,face_present,person_age_class_1,person_age_class_2,gaze_direction_1,gaze_direction_2
222,27540,258541,0,5.86,0,adult,,,
222,29530,258541,0,5.86,0,child,,,
222,30480,258541,0,5.86,0,child,,,
222,31530,258541,0,5.86,0,child,,,
222,32650,258541,0,5.86,0,child,,,
222,33090,258541,0,5.86,1,child,adult,0.0,
222,33410,258541,0,5.86,1,adult,,0.0,
222,33640,258541,0,5.86,1,child,adult,1.0,
222,33670,258541,0,5.86,1,child,adult,1.0,0.0
222,33920,258541,1,5.86,1,adult,,1.0,
222,35240,258541,0,5.86,0,child,,,
222,37410,258541,0,5.86,0,adult,,,
222,38250,258541,0,5.86,0,child,,,
222,41090,258541,0,5.86,1,child,,0.0,
222,41160,258541,0,5.86,1,adult,,0.0,
222,49610,258541,0,5.86,0,child,,,
222,50290,258541,0,5.86,0,child,,,
222,50350,258541,0,5.86,0,adult,,,
226,840,258541,0,5.87,0,child,,,
226,5030,258541,0,5.87,0,,,,
226,7020,258541,0,5.87,0,,,,
226,7200,258541,0,5.87,0,,,,
230,2780,258704,0,4.8,0,adult,,,
230,2840,258704,0,4.8,0,adult,,,
230,3180,258704,0,4.8,0,adult,,,
230,3220,258704,0,4.8,0,adult,,,
230,4010,258704,0,4.8,0,child,,,
230,5580,258704,0,4.8,0,,,,
230,5590,258704,0,4.8,0,,,,
230,5660,258704,1,4.8,0,adult,,,
230,6100,258704,0,4.8,1,adult,,1.0,
230,6310,258704,0,4.8,1,adult,,1.0,
230,6430,258704,0,4.8,0,adult,,,
230,6890,258704,0,4.8,1,adult,,1.0,
230,8210,258704,0,4.8,0,adult,,,
230,8570,258704,0,4.8,0,adult,,,
230,8950,258704,1,4.8,0,,,,
230,11250,258704,0,4.8,0,adult,,,
230,11620,258704,0,4.8,0,adult,,,
230,12290,258704,0,4.8,0,adult,,,
230,12960,258704,0,4.8,0,adult,,,
230,13110,258704,0,4.8,0,adult,,,
230,13300,258704,0,4.8,0,adult,,,
230,15120,258704,0,4.8,0,adult,,,
234,10,258704,0,4.82,1,adult,,0.0,
234,33070,258704,0,4.82,0,,,,
234,52270,258704,0,4.82,0,,,,
241,430,258827,0,5.79,0,,,,
241,1240,258827,0,5.79,0,child,,,
241,1970,258827,0,5.79,0,,,,
241,2530,258827,0,5.79,0,child,,,
241,5280,258827,1,5.79,0,child,,,
241,10750,258827,0,5.79,0,adult,,,
241,12630,258827,0,5.79,0,child,,,
241,12790,258827,1,5.79,0,child,,,
241,18710,258827,0,5.79,0,,,,
241,19860,258827,0,5.79,0,,,,
241,23910,258827,0,5.79,0,adult,,,
241,24450,258827,0,5.79,0,adult,,,
241,27200,258827,0,5.79,0,child,,,
241,32680,258827,0,5.79,0,,,,
241,35520,258827,0,5.79,0,,,,
241,40500,258827,1,5.79,0,adult,,,
241,40960,258827,0,5.79,0,child,,,
