PROJECT;ID;Date;Nr;Seconds per ID;Minutes_per_ID;Seconds;Duration;Comments;file name  (generated automatically);SA_name;powershell rename command;Labeled;;nr str;date_str;;
quantex_share;271735;25.05.2024;1;5915;98,58;1800,00;00:30:00;;quantex_share_id271735_2024_05_25_01;639733;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id271735_2024_05_25_01.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\639733.MP4;yes;;01;2024_05_25;;
quantex_share;271735;28.05.2024;1;5915;98,58;1222,00;00:20:22;;quantex_share_id271735_2024_05_28_01;448237;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id271735_2024_05_28_01.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\448237.MP4;yes;;01;2024_05_28;;
quantex_share;260062;29.05.2024;1;4652;77,53;1065,00;00:17:45;;quantex_share_id260062_2024_05_29_01;350145;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id260062_2024_05_29_01.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\350145.MP4;yes;;01;2024_05_29;;
quantex_share;260062;29.05.2024;2;4652;77,53;697,00;00:11:37;;quantex_share_id260062_2024_05_29_02;803220;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id260062_2024_05_29_02.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\803220.MP4;yes;;02;2024_05_29;;
quantex_share;260062;29.05.2024;3;4652;77,53;1084,00;00:18:04;;quantex_share_id260062_2024_05_29_03;740360;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id260062_2024_05_29_03.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\740360.MP4;yes;;03;2024_05_29;;
quantex_share;260062;29.05.2024;4;4652;77,53;1150,00;00:19:10;;quantex_share_id260062_2024_05_29_04;952804;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id260062_2024_05_29_04.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\952804.MP4;yes;;04;2024_05_29;;
quantex_share;262174;29.05.2024;1;3609;60,15;862,00;00:14:22;;quantex_share_id262174_2024_05_29_01;776563;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id262174_2024_05_29_01.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\776563.MP4;yes;;01;2024_05_29;;
quantex_share;271735;31.05.2024;1;5915;98,58;859,00;00:14:19;;quantex_share_id271735_2024_05_31_01;405664;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id271735_2024_05_31_01.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\405664.MP4;yes;;01;2024_05_31;;
quantex_share;262174;02.06.2024;1;3609;60,15;1636,00;00:27:16;;quantex_share_id262174_2024_06_02_01;776910;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id262174_2024_06_02_01.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\776910.MP4;yes;;01;2024_06_02;;
quantex_share;267139;03.06.2024;1;4551;75,85;181,00;00:03:01;;quantex_share_id267139_2024_06_03_01;487661;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id267139_2024_06_03_01.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\487661.MP4;yes;;01;2024_06_03;;
quantex_share;267139;03.06.2024;2;4551;75,85;1008,00;00:16:48;;quantex_share_id267139_2024_06_03_02;208409;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id267139_2024_06_03_02.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\208409.MP4;yes;;02;2024_06_03;;
quantex_share;260062;06.06.2024;1;4652;77,53;656,00;00:10:56;;quantex_share_id260062_2024_06_06_01;879221;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id260062_2024_06_06_01.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\879221.MP4;yes;;01;2024_06_06;;
quantex_share;267139;07.06.2024;1;4551;75,85;1070,00;00:17:50;;quantex_share_id267139_2024_06_07_01;547935;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id267139_2024_06_07_01.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\547935.MP4;yes;;01;2024_06_07;;
quantex_share;262920;10.06.2024;1;9293;154,88;362,00;00:06:02;statisch gefilmt;quantex_share_id262920_2024_06_10_01;641755;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id262920_2024_06_10_01.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\641755.MP4;no;;01;2024_06_10;;
quantex_share;262920;10.06.2024;2;9293;154,88;1800,00;00:30:00;statisch gefilmt;quantex_share_id262920_2024_06_10_02;390209;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id262920_2024_06_10_02.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\390209.MP4;no;;02;2024_06_10;;
quantex_share;262920;10.06.2024;3;9293;154,88;960,00;00:16:00;statisch gefilmt;quantex_share_id262920_2024_06_10_03;792524;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id262920_2024_06_10_03.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\792524.MP4;no;;03;2024_06_10;;
quantex_share;262920;11.06.2024;1;9293;154,88;1295,00;00:21:35;statisch gefilmt;quantex_share_id262920_2024_06_11_01;694155;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id262920_2024_06_11_01.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\694155.MP4;no;;01;2024_06_11;;
quantex_share;267139;11.06.2024;1;4551;75,85;297,00;00:04:57;;quantex_share_id267139_2024_06_11_01;136375;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id267139_2024_06_11_01.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\136375.MP4;yes;;01;2024_06_11;;
quantex_share;262273;12.06.2024;1;5243;87,38;1122,00;00:18:42;;quantex_share_id262273_2024_06_12_01;182442;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id262273_2024_06_12_01.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\182442.MP4;yes;;01;2024_06_12;;
quantex_share;267139;12.06.2024;1;4551;75,85;606,00;00:10:06;;quantex_share_id267139_2024_06_12_01;147984;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id267139_2024_06_12_01.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\147984.MP4;yes;;01;2024_06_12;;
quantex_share;262273;13.06.2024;1;5243;87,38;940,00;00:15:40;;quantex_share_id262273_2024_06_13_01;996295;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id262273_2024_06_13_01.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\996295.MP4;yes;;01;2024_06_13;;
quantex_share;262273;13.06.2024;2;5243;87,38;138,00;00:02:18;;quantex_share_id262273_2024_06_13_02;139229;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id262273_2024_06_13_02.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\139229.MP4;yes;;02;2024_06_13;;
